"Stage","ID","Asset Name","Coupon","PACE Asset Balance","Closing Date","Maturity Date"," Term (Years)","Amortization Start Date","Cap-I End Date","Payments per Year","Current Total Debt MTG + PACE","Mortgage Balance","Total Project Budget","as-is Property Value","as-complete Property Value","as-stabilized Property value","as-stabilized PACE LTV","as-stabilized Mortgage LTV","as-stabilized Combined LTV","Under-Written DSVR","City","State","Property Type","Project Type","PACE Program","Closing Year","Maturity Year"
"05 Servicing","19-12","Pampati - Eastlake Sheraton","5.12","1802911.84","2019-09-17","2040-07-31",20,"2020-10-30","2020-10-29",2,"7224745.41","5421833.57","10724745.41","13640000","13640000","14200000","12.6965622535211","38.1819265492958","50.8784888028169","2.02","Eastlake","OH","Hotel","Retroactive","OH- Lake County Communities ESID","2019","2040"
"05 Servicing","19-06","Urbana Hotel LLC - Cobblestone Hotel","6.42","1249986.38","2019-07-17","2045-07-31",25,"2020-10-30","2020-10-29",2,"4699986.38","3450000","6174986.38","625000","5800000","5820000","21.477429209622","59.2783505154639","80.7557797250859","1.71","Urbana ","OH","Hotel","New Construction","Ohio Urbana ESID","2019","2045"
"05 Servicing","19-03","Worcester - Flashcube","6.86","4184052.42","2019-05-29","2040-12-31",20,"2021-01-01","2020-12-31",1,"52925019.42","48740967","67329678.42","6400000","39110000","42200000","9.91481616113744","115.499921800948","125.414737962085","1.16","Kansas City","MO","Mixed Use","Major Renovation","Missouri Show Me PACE","2019","2040"
"05 Servicing","19-02","PEG - Rochester Hyatt","6.32","4299999","2019-05-30","2041-01-01",20,"2021-01-01","2020-12-31",2,"33999999","29700000","51284268.00","3500000","47100000","51100000","8.41487084148728","58.1213307240705","66.5362015655577","1.72","Rochester","MN","Hotel","New Construction","Minnesota PACE","2019","2041"
"05 Servicing","19-01","Greene Innkeepers H2S","5.96","2997769","2019-06-20","2044-07-31",25,"2019-10-30","2019-10-29",2,"12597769","9600000","15923352.00","700000","14530000","17000000","17.6339352941176","56.4705882352941","74.1045235294118","1.52","Beavercreek","OH","Hotel","New Construction","Beaver Creek Energy Special Improvement District, Inc","2019","2044"
"05 Servicing","18-22","600 Ventures Cambria Detroit","6.05","6878637","2019-09-09","2040-11-30",20,"2020-11-30","2020-11-29",2,"38878637","32000000","52044640.00","7000000","27800000","30800000","22.333237012987","103.896103896104","126.229340909091","1.27","Detroit","MI","Hotel","Major Renovation","Lean & Green Michigan","2019","2040"
"05 Servicing","18-16","Easton Innkeepers- Homewood Suites ","7.08","10384720.42","2018-12-14","2045-07-31",25,"2020-11-16","2020-11-15",2,"36634720.42","26250000","47145518.42","1300000","48100000","53200000","19.5201511654135","49.3421052631579","68.8622564285714","1.84","Columbus","OH","Hotel","New Construction","CRESID - Columbus ","2018","2045"
"05 Servicing","18-13","Isanti Best Western Plus","6.85","786688.25","2019-03-07","2040-01-01",20,"2020-01-01","2019-12-31",2,"5268688.25","4482000","7301688.25","560000","6500000","7100000","11.0801161971831","63.1267605633803","74.2068767605634","1.45","Isanti","MN","Hotel","New Construction","Minnesota PACE","2019","2040"
"05 Servicing","17-13","Glenroy (New)","7.31","6748161.18","2020-08-25","2043-04-10",23,"2020-09-03","2020-09-02",2,"6748161.18","0","6748161.18",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"CA","Hotel","New Construction","CSCDA Open PACE","2020","2043"
"05 Servicing","16-38","201 W Capital - Hall & Davidson","7.67","2330993","2018-09-27","2038-10-15",20,"2019-01-01","2018-12-31",1,"18360993","16030000","27269270.00","3500000","22290000","25400000","9.17713779527559","63.1102362204724","72.287374015748","1.47","Little Rock","AR","Hotel","Major Renovation","PACE Arkansas (Pulaski Co. Only)","2018","2038"
